Model,Predicted probability,True probability,Lower bound,Upper bound,Intercept,± 95% CI,Slope,± 95% CI,"Events per 10,000 visits","Nonevents per 100,000 visits",Optimum threshold
RR,0.2,0.051759834368530024,0.03200241863929568,0.07151725009776437,-0.1393000957005659,0.19228782918029327,0.6684304119897452,0.19228782918029327,2.5e-4,4.58e-4,0.48
RR,0.3,0.046474358974358976,0.034795142975603204,0.05815357497311475,-0.1393000957005659,0.19228782918029327,0.6684304119897452,0.19228782918029327,5.8e-4,0.00119,0.48
RR,0.4,0.10241545893719807,0.08935425056217745,0.11547666731221869,-0.1393000957005659,0.19228782918029327,0.6684304119897452,0.19228782918029327,0.00212,0.001858,0.48
RR,0.5,0.14015431092191766,0.13874485963071298,0.14156376221312233,-0.1393000957005659,0.19228782918029327,0.6684304119897452,0.19228782918029327,0.32661,0.200375,0.48
RR,0.6,0.3870967741935484,0.21563276518556013,0.5585607832015367,-0.1393000957005659,0.19228782918029327,0.6684304119897452,0.19228782918029327,1.2e-4,1.9e-5,0.48
RR,0.7,0.21428571428571427,0.12653768283209113,0.3020337457393374,-0.1393000957005659,0.19228782918029327,0.6684304119897452,0.19228782918029327,1.8e-4,6.6e-5,0.48
RR,0.8,0.2822966507177033,0.22127270329249094,0.3433205981429157,-0.1393000957005659,0.19228782918029327,0.6684304119897452,0.19228782918029327,5.9e-4,1.5e-4,0.48
RR,0.9,0.6022099447513812,0.5309066290014958,0.6735132605012667,-0.1393000957005659,0.19228782918029327,0.6684304119897452,0.19228782918029327,0.00109,7.2e-5,0.48
PC-ENR,0,0.035909301249421564,0.03240098989462921,0.03941761260421392,0.017470917152680326,0.039904196683919806,0.9432529734396942,0.039904196683919806,0.00388,0.010417,0.14
PC-ENR,0.1,0.11280984485826713,0.11125774754254869,0.11436194217398557,0.017470917152680326,0.039904196683919806,0.9432529734396942,0.039904196683919806,0.18004,0.141592,0.14
PC-ENR,0.2,0.19811285219225555,0.19472261455938242,0.20150308982512868,0.017470917152680326,0.039904196683919806,0.9432529734396942,0.039904196683919806,0.10519,0.042577,0.14
PC-ENR,0.3,0.27828314051046543,0.2700285751509798,0.2865377058699511,0.017470917152680326,0.039904196683919806,0.9432529734396942,0.039904196683919806,0.03151,0.008172,0.14
PC-ENR,0.4,0.3668789808917197,0.34741384604031617,0.3863441157431233,0.017470917152680326,0.039904196683919806,0.9432529734396942,0.039904196683919806,0.00864,0.001491,0.14
PC-ENR,0.5,0.5277108433734939,0.47967935560574604,0.5757423311412418,0.017470917152680326,0.039904196683919806,0.9432529734396942,0.039904196683919806,0.00219,1.96e-4,0.14
PC-RF,0.3,0.09356831000702323,0.09203241069926385,0.09510420931478261,-0.525587517246418,0.28952099160346106,1.387862533083938,0.28952099160346106,0.12923,0.12519,0.58
PC-RF,0.4,0.031939446096072605,0.030415275283097985,0.03346361690904722,-0.525587517246418,0.28952099160346106,1.387862533083938,0.28952099160346106,0.01633,0.049495,0.58
PC-RF,0.5,0.06888979675211929,0.06534249966323984,0.07243709384099874,-0.525587517246418,0.28952099160346106,1.387862533083938,0.28952099160346106,0.01349,0.018233,0.58
PC-RF,0.6,0.17173233270794247,0.163465288772143,0.17999937664374194,-0.525587517246418,0.28952099160346106,1.387862533083938,0.28952099160346106,0.01373,0.006622,0.58
PC-RF,0.7,0.3053072625698324,0.2902213521458975,0.32039317299376735,-0.525587517246418,0.28952099160346106,1.387862533083938,0.28952099160346106,0.01093,0.002487,0.58
PC-RF,0.8,0.5363636363636364,0.5173412702396215,0.5553860024876512,-0.525587517246418,0.28952099160346106,1.387862533083938,0.28952099160346106,0.01416,0.001224,0.58
PC-RF,0.9,0.8469827586206896,0.8360639484651051,0.8579015687762741,-0.525587517246418,0.28952099160346106,1.387862533083938,0.28952099160346106,0.03537,6.39e-4,0.58
PC-RF,1,0.9574014909478168,0.9535068878803626,0.9612960940152709,-0.525587517246418,0.28952099160346106,1.387862533083938,0.28952099160346106,0.09889,4.4e-4,0.58
PC-GBM,0,0.028323892035988004,0.02238846021693123,0.03425932385504478,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,8.5e-4,0.002916,0.14
PC-GBM,0.1,0.11331073148525289,0.11179025842955662,0.11483120454094917,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,0.18917,0.148031,0.14
PC-GBM,0.2,0.18343582839052436,0.18020023402830992,0.1866714227527388,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,0.10082,0.04488,0.14
PC-GBM,0.3,0.29624724061810154,0.28684521988719136,0.3056492613490117,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,0.02684,0.006376,0.14
PC-GBM,0.4,0.36062452399086065,0.3422588721983348,0.3789901757833865,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,0.00947,0.001679,0.14
PC-GBM,0.5,0.49244712990936557,0.43858859399401295,0.5463056658247182,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,0.00163,1.68e-4,0.14
PC-GBM,0.6,0.6611570247933884,0.6015232968656677,0.7207907527211092,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,0.0016,8.2e-5,0.14
PC-GBM,0.7,0.9893617021276596,0.9686222258642989,1.0101011783910203,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,0.00093000000000000005,1e-6,0.14
PC-GBM,0.8,1,1,1,-0.05277685579744625,0.10526124513474759,1.2777499376467103,0.10526124513474759,3e-5,NA,0.14
DI-VNN,0,0.0169286279161724,0.015671680558361756,0.018185575273983044,-0.016372034077242713,0.043237148500311864,1.069092417290379,0.043237148500311864,0.00685,0.039779,0.14
DI-VNN,0.1,0.11346156492068078,0.11183115873178807,0.11509197110957349,-0.016372034077242713,0.043237148500311864,1.069092417290379,0.043237148500311864,0.16493,0.128869,0.14
DI-VNN,0.2,0.18350099226715938,0.17906326671414882,0.18793871782016994,-0.016372034077242713,0.043237148500311864,1.069092417290379,0.043237148500311864,0.05363,0.023863,0.14
DI-VNN,0.3,0.3034825870646766,0.29378979909899566,0.3131753750303576,-0.016372034077242713,0.043237148500311864,1.069092417290379,0.043237148500311864,0.02623,0.00602,0.14
DI-VNN,0.4,0.41239539748953974,0.3967930966181046,0.4279976983609749,-0.016372034077242713,0.043237148500311864,1.069092417290379,0.043237148500311864,0.01577,0.002247,0.14
