Model,Threshold,Specificity,Sensitivity,Specificity at targeted threshold *,Sensitivity at targeted threshold *
"El-Achi, et al. [23]",NA,NA,NA,0.9,0.25
"Başbuğ, et al. [38]",NA,NA,NA,0.863,0.419
Causal RR,0,0,1,0.0361,0.9761
Causal RR,0.01,0,1,0.0361,0.9761
Causal RR,0.02,0,1,0.0361,0.9761
Causal RR,0.03,0,1,0.0361,0.9761
Causal RR,0.04,0,1,0.0361,0.9761
Causal RR,0.05,0,1,0.0361,0.9761
Causal RR,0.06,0,1,0.0361,0.9761
Causal RR,0.07,0,1,0.0361,0.9761
Causal RR,0.08,0,1,0.0361,0.9761
Causal RR,0.09,0,1,0.0361,0.9761
Causal RR,0.1,0,1,0.0361,0.9761
Causal RR,0.11,0,1,0.0361,0.9761
Causal RR,0.12,0,1,0.0361,0.9761
Causal RR,0.13,0,1,0.0361,0.9761
Causal RR,0.14,0,1,0.0361,0.9761
Causal RR,0.15,0,1,0.0361,0.9761
Causal RR,0.16,0,1,0.0361,0.9761
Causal RR,0.17,0,1,0.0361,0.9761
Causal RR,0.18,0,1,0.0361,0.9761
Causal RR,0.19,2e-4,0.9999,0.0361,0.9761
Causal RR,0.2,3e-4,0.9999,0.0361,0.9761
Causal RR,0.21,4e-4,0.9998,0.0361,0.9761
Causal RR,0.22,5e-4,0.9998,0.0361,0.9761
Causal RR,0.23,9e-4,0.9997,0.0361,0.9761
Causal RR,0.24,0.0018,0.9994,0.0361,0.9761
Causal RR,0.25,0.0022,0.9992,0.0361,0.9761
Causal RR,0.26,0.0032,0.9991,0.0361,0.9761
Causal RR,0.27,0.004,0.999,0.0361,0.9761
Causal RR,0.28,0.0046,0.9989,0.0361,0.9761
Causal RR,0.29,0.0053,0.9988,0.0361,0.9761
Causal RR,0.3,0.0059,0.9987,0.0361,0.9761
Causal RR,0.31,0.0064,0.9986,0.0361,0.9761
Causal RR,0.32,0.0066,0.9985,0.0361,0.9761
Causal RR,0.33,0.0069,0.9984,0.0361,0.9761
Causal RR,0.34,0.0077,0.9976,0.0361,0.9761
Causal RR,0.35000000000000003,0.0081,0.9975,0.0361,0.9761
Causal RR,0.36,0.0093,0.9964,0.0361,0.9761
Causal RR,0.37,0.0103,0.9955,0.0361,0.9761
Causal RR,0.38,0.0119,0.994,0.0361,0.9761
Causal RR,0.39,0.0129,0.9934,0.0361,0.9761
Causal RR,0.4,0.0136,0.993,0.0361,0.9761
Causal RR,0.41000000000000003,0.0144,0.9923,0.0361,0.9761
Causal RR,0.42,0.0151,0.9918,0.0361,0.9761
Causal RR,0.43,0.0158,0.9913,0.0361,0.9761
Causal RR,0.44,0.0165,0.9912,0.0361,0.9761
Causal RR,0.45,0.0172,0.9911,0.0361,0.9761
Causal RR,0.46,0.0212,0.9883,0.0361,0.9761
Causal RR,0.47000000000000003,0.0296,0.9822,0.0361,0.9761
Causal RR,0.48,0.0361,0.9761,0.0361,0.9761
Causal RR,0.49,0.0411,0.9686,0.0361,0.9761
Causal RR,0.5,0.4854,0.5212,0.0361,0.9761
Causal RR,0.51,0.9305,0.0753,0.0361,0.9761
Causal RR,0.52,0.9961,0.0088,0.0361,0.9761
Causal RR,0.53,0.9985,0.006,0.0361,0.9761
Causal RR,0.54,0.9985,0.006,0.0361,0.9761
Causal RR,0.55,0.9985,0.006,0.0361,0.9761
Causal RR,0.56,0.9985,0.006,0.0361,0.9761
Causal RR,0.5700000000000001,0.9985,0.0058,0.0361,0.9761
Causal RR,0.58,0.9985,0.0058,0.0361,0.9761
Causal RR,0.59,0.9985,0.0057,0.0361,0.9761
Causal RR,0.6,0.9985,0.0057,0.0361,0.9761
Causal RR,0.61,0.9985,0.0056,0.0361,0.9761
Causal RR,0.62,0.9985,0.0056,0.0361,0.9761
Causal RR,0.63,0.9986,0.0056,0.0361,0.9761
Causal RR,0.64,0.9986,0.0056,0.0361,0.9761
Causal RR,0.65,0.9986,0.0056,0.0361,0.9761
Causal RR,0.66,0.9986,0.0056,0.0361,0.9761
Causal RR,0.67,0.9986,0.0056,0.0361,0.9761
Causal RR,0.68,0.9986,0.0056,0.0361,0.9761
Causal RR,0.6900000000000001,0.9987,0.0056,0.0361,0.9761
Causal RR,0.7000000000000001,0.9987,0.0056,0.0361,0.9761
Causal RR,0.71,0.9987,0.0055,0.0361,0.9761
Causal RR,0.72,0.9987,0.0054,0.0361,0.9761
Causal RR,0.73,0.9988,0.0054,0.0361,0.9761
Causal RR,0.74,0.9988,0.0052,0.0361,0.9761
Causal RR,0.75,0.9989,0.0051,0.0361,0.9761
Causal RR,0.76,0.999,0.0049,0.0361,0.9761
Causal RR,0.77,0.9991,0.0046,0.0361,0.9761
Causal RR,0.78,0.9992,0.0045,0.0361,0.9761
Causal RR,0.79,0.9993,0.0045,0.0361,0.9761
Causal RR,0.8,0.9993,0.0044,0.0361,0.9761
Causal RR,0.81,0.9994,0.0044,0.0361,0.9761
Causal RR,0.8200000000000001,0.9995,0.0043,0.0361,0.9761
Causal RR,0.8300000000000001,0.9995,0.0043,0.0361,0.9761
Causal RR,0.84,0.9996,0.0039,0.0361,0.9761
Causal RR,0.85,0.9996,0.0033,0.0361,0.9761
Causal RR,0.86,0.9997,0.0029,0.0361,0.9761
Causal RR,0.87,0.9997,0.0025,0.0361,0.9761
Causal RR,0.88,0.9998,0.002,0.0361,0.9761
Causal RR,0.89,0.9999,0.0014,0.0361,0.9761
Causal RR,0.9,0.9999,0.0011,0.0361,0.9761
Causal RR,0.91,0.9999,5e-4,0.0361,0.9761
Causal RR,0.92,0.9999,3e-4,0.0361,0.9761
Causal RR,0.93,1,2e-4,0.0361,0.9761
Causal RR,0.9400000000000001,1,1e-4,0.0361,0.9761
Causal RR,0.9500000000000001,1,0,0.0361,0.9761
Causal RR,0.96,1,0,0.0361,0.9761
Causal RR,0.97,1,0,0.0361,0.9761
Causal RR,0.98,1,0,0.0361,0.9761
Causal RR,0.99,1,0,0.0361,0.9761
Causal RR,1,1,0,0.0361,0.9761
PC-ENR,0,0,1,0.7088,0.4823
