Predicted time of deliver (week),Prediction of PROM by DI-VNN,True time of delivery (week 95% CI),Lower bound,Upper bound,Fulfilling the criteria in main text?,Estimation window,Maximum,RMSE
0,event,0,-0,0,No,6,22,2.6100488967074305
0,nonevent,0,0,0,No,9,34,2.2184985898827625
1,event,0,0,0,No,6,22,2.6100488967074305
1,nonevent,0,0,0,No,9,34,2.2184985898827625
2,event,0,0,1,No,6,22,2.6100488967074305
2,nonevent,1,0,1,No,9,34,2.2184985898827625
3,event,1,1,2,No,6,22,2.6100488967074305
3,nonevent,1,1,1,No,9,34,2.2184985898827625
4,event,2,1,2,No,6,22,2.6100488967074305
4,nonevent,2,2,2,No,9,34,2.2184985898827625
5,event,3,2,4,No,6,22,2.6100488967074305
5,nonevent,3,3,3,No,9,34,2.2184985898827625
6,event,6,4,9,Yes,6,22,2.6100488967074305
6,nonevent,4,4,5,No,9,34,2.2184985898827625
7,event,5,2,9,Yes,6,22,2.6100488967074305
7,nonevent,5,4,5,No,9,34,2.2184985898827625
8,event,7,5,9,Yes,6,22,2.6100488967074305
8,nonevent,6,6,7,No,9,34,2.2184985898827625
9,event,9,7,11,Yes,6,22,2.6100488967074305
9,nonevent,8,8,9,Yes,9,34,2.2184985898827625
10,event,10,6,13,Yes,6,22,2.6100488967074305
10,nonevent,10,10,11,Yes,9,34,2.2184985898827625
11,event,11,9,13,Yes,6,22,2.6100488967074305
11,nonevent,10,9,11,Yes,9,34,2.2184985898827625
12,event,16,13,19,No,6,22,2.6100488967074305
12,nonevent,11,10,12,Yes,9,34,2.2184985898827625
13,event,13,NA,NA,No,6,22,2.6100488967074305
13,nonevent,14,12,15,Yes,9,34,2.2184985898827625
14,event,16,12,19,Yes,6,22,2.6100488967074305
14,nonevent,14,12,15,Yes,9,34,2.2184985898827625
15,nonevent,17,15,18,Yes,9,34,2.2184985898827625
16,event,17,16,18,No,6,22,2.6100488967074305
16,nonevent,17,15,18,Yes,9,34,2.2184985898827625
17,event,21,15,27,Yes,6,22,2.6100488967074305
17,nonevent,19,17,20,No,9,34,2.2184985898827625
18,event,23,16,30,Yes,6,22,2.6100488967074305
18,nonevent,19,17,20,Yes,9,34,2.2184985898827625
19,event,19,18,20,Yes,6,22,2.6100488967074305
19,nonevent,20,19,22,Yes,9,34,2.2184985898827625
20,event,21,20,23,Yes,6,22,2.6100488967074305
20,nonevent,23,20,26,Yes,9,34,2.2184985898827625
21,event,23,NA,NA,No,6,22,2.6100488967074305
21,nonevent,26,24,28,No,9,34,2.2184985898827625
22,event,28,21,35,Yes,6,22,2.6100488967074305
22,nonevent,25,22,27,No,9,34,2.2184985898827625
23,event,29,NA,NA,No,6,22,2.6100488967074305
23,nonevent,25,23,27,Yes,9,34,2.2184985898827625
24,nonevent,26,23,29,Yes,9,34,2.2184985898827625
25,event,30,NA,NA,No,6,22,2.6100488967074305
25,nonevent,27,25,29,Yes,9,34,2.2184985898827625
26,event,32,30,33,No,6,22,2.6100488967074305
26,nonevent,29,26,32,Yes,9,34,2.2184985898827625
27,nonevent,31,28,34,No,9,34,2.2184985898827625
28,event,30,NA,NA,No,6,22,2.6100488967074305
28,nonevent,33,29,37,No,9,34,2.2184985898827625
29,nonevent,32,28,35,Yes,9,34,2.2184985898827625
30,event,27,NA,NA,No,6,22,2.6100488967074305
30,nonevent,30,26,35,Yes,9,34,2.2184985898827625
31,nonevent,32,28,36,Yes,9,34,2.2184985898827625
32,nonevent,35,31,39,Yes,9,34,2.2184985898827625
33,nonevent,33,30,36,Yes,9,34,2.2184985898827625
34,nonevent,34,31,37,Yes,9,34,2.2184985898827625
35,nonevent,38,33,43,No,9,34,2.2184985898827625
36,nonevent,42,36,48,No,9,34,2.2184985898827625
37,nonevent,44,36,52,No,9,34,2.2184985898827625
38,nonevent,44,36,52,No,9,34,2.2184985898827625
39,event,46,NA,NA,No,6,22,2.6100488967074305
39,nonevent,51,43,59,No,9,34,2.2184985898827625
40,event,43,NA,NA,No,6,22,2.6100488967074305
40,nonevent,49,44,54,No,9,34,2.2184985898827625
41,nonevent,50,44,57,No,9,34,2.2184985898827625
42,nonevent,52,47,58,No,9,34,2.2184985898827625
43,nonevent,55,47,63,No,9,34,2.2184985898827625
44,nonevent,51,45,58,No,9,34,2.2184985898827625
45,nonevent,54,44,64,No,9,34,2.2184985898827625
46,nonevent,62,56,67,No,9,34,2.2184985898827625
47,nonevent,59,51,67,No,9,34,2.2184985898827625
48,nonevent,61,54,68,No,9,34,2.2184985898827625
49,nonevent,68,56,81,No,9,34,2.2184985898827625
50,event,81,NA,NA,No,6,22,2.6100488967074305
50,nonevent,61,51,71,No,9,34,2.2184985898827625
51,nonevent,78,69,88,No,9,34,2.2184985898827625
52,nonevent,69,64,74,No,9,34,2.2184985898827625
53,nonevent,72,63,81,No,9,34,2.2184985898827625
54,event,79,NA,NA,No,6,22,2.6100488967074305
54,nonevent,81,72,90,No,9,34,2.2184985898827625
55,nonevent,64,53,76,No,9,34,2.2184985898827625
56,nonevent,73,NA,NA,No,9,34,2.2184985898827625
57,nonevent,57,42,71,No,9,34,2.2184985898827625
58,nonevent,73,62,83,No,9,34,2.2184985898827625
59,nonevent,66,59,73,No,9,34,2.2184985898827625
60,nonevent,73,64,83,No,9,34,2.2184985898827625
61,nonevent,72,62,82,No,9,34,2.2184985898827625
62,nonevent,87,83,90,No,9,34,2.2184985898827625
63,nonevent,84,72,96,No,9,34,2.2184985898827625
64,nonevent,89,NA,NA,No,9,34,2.2184985898827625
65,nonevent,86,69,102,No,9,34,2.2184985898827625
66,nonevent,85,NA,NA,No,9,34,2.2184985898827625
67,nonevent,78,58,99,No,9,34,2.2184985898827625
72,nonevent,83,82,83,No,9,34,2.2184985898827625
75,nonevent,103,NA,NA,No,9,34,2.2184985898827625
79,nonevent,93,NA,NA,No,9,34,2.2184985898827625
