Ontology,Channel,x,y1,y2,y3,y4,y5,y6,y7
ONT:171,z=2,7,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:171,z=2,6,0 ,0 ,0 ,0 ,-0.003 ,-0.001 ,0 
ONT:171,z=2,5,0 ,0 ,-0.001 ,-0.006 ,-0.021 ,-0.017 ,-0.005 
ONT:171,z=2,4,0 ,0 ,-0.006 ,-0.019 ,-0.044 ,-0.036 (N760),-0.025 
ONT:171,z=2,3,0 ,-0.002 ,-0.02 ,-0.018 ,-0.038 ,-0.089 ,-0.062 
ONT:171,z=2,2,0 ,-0.001 ,-0.008 ,-0.02 ,-0.027 ,-0.06 ,-0.055 
ONT:171,z=2,1,0 ,0 ,-0.003 ,-0.007 ,-0.044 ,-0.058 ,-0.038 
ONT:171,z=9,7,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:171,z=9,6,0 ,0 ,0 ,0 ,0.002 ,0.001 ,0 
ONT:171,z=9,5,0 ,0 ,0 ,0.003 ,0.006 ,-0.004 ,-0.004 
ONT:171,z=9,4,0 ,-0.001 ,0.005 ,0.016 (B379),0.027 ,-0.001 ,-0.007 
ONT:171,z=9,3,0 ,-0.002 ,0.001 ,0.018 ,0.036 ,0.032 ,-0.001 
ONT:171,z=9,2,0 ,-0.002 ,-0.007 ,0.013 ,0.043 ,0.038 ,0.016 
ONT:171,z=9,1,0 ,-0.002 ,-0.008 ,0.007 ,0.046 ,0.03 ,0.001 
ONT:144,z=3,7,-0.006 ,0.002 (9059),0.003 ,-0.002 ,0.002 ,0 ,0 
ONT:144,z=3,6,-0.018 ,0.015 ,-0.023 ,0.007 ,-0.008 ,0.001 ,0 
ONT:144,z=3,5,-0.001 ,-0.004 ,-0.006 ,-0.002 ,-0.003 ,0 ,0 
ONT:144,z=3,4,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:144,z=3,3,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:144,z=3,2,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:144,z=3,1,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:154,z=2,7,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:154,z=2,6,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:154,z=2,5,0 ,0 ,0 ,0 ,0 ,0 (causal_A03),0 
ONT:154,z=2,4,0 ,0 ,0 ,0 ,-0.003 ,-0.019 ,0.001 
ONT:154,z=2,3,0 ,0 ,0 ,0.007 ,-0.03 ,-0.051 ,-0.038 
ONT:154,z=2,2,0 ,0 ,0 ,-0.003 ,-0.056 ,-0.095 ,-0.059 
ONT:154,z=2,1,0 ,0 ,0 ,-0.005 ,-0.038 ,-0.061 ,-0.022 
ONT:155,z=2,7,0 ,0 ,0 ,0 ,0 ,0 ,0 
ONT:155,z=2,6,0 ,0 ,0 ,0 ,0 ,0 ,0 (8602)
ONT:155,z=2,5,-0.014 (598),-0.007 ,-0.002 ,0 ,0 ,0 ,0 
ONT:155,z=2,4,-0.019 ,-0.028 ,-0.013 ,0.004 ,0 ,0 ,0 
ONT:155,z=2,3,-0.017 ,-0.076 ,-0.062 ,-0.001 ,0 ,0 ,0 
ONT:155,z=2,2,-0.028 ,-0.053 ,-0.019 ,-0.017 ,0 ,0 ,0 
ONT:155,z=2,1,0.011 ,-0.002 ,-0.009 ,-0.003 ,0 ,0 ,0 
ONT:167,z=3,7,0.013 ,0.02 ,0.017 ,0.002 ,0.003 ,0 ,0 
ONT:167,z=3,6,0.015 ,0.011 ,0.007 ,-0.01 ,0.001 (H521),0 ,0 
ONT:167,z=3,5,-0.008 ,0.004 ,-0.002 ,-0.007 ,0.001 ,0 ,0 
ONT:167,z=3,4,0 ,-0.005 ,0.01 ,0.003 ,0.002 ,0 ,0 
ONT:167,z=3,3,0 ,0.02 ,0.006 ,0.008 ,0.004 ,0 ,0 
ONT:167,z=3,2,-0.009 ,0.03 ,0.011 ,0.003 ,0.002 ,0 ,0 
ONT:167,z=3,1,0.016 ,0.012 ,-0.002 ,-0.018 ,0.004 ,0 ,0 
ONT:167,z=6,7,0.005 ,-0.022 ,-0.017 ,0.003 ,-0.005 ,0 ,0 
ONT:167,z=6,6,-0.025 ,-0.001 ,-0.006 ,0.006 ,-0.01 ,0 ,0 
ONT:167,z=6,5,-0.009 ,0.004 ,-0.009 ,0.01 ,-0.001 ,-0.001 ,0 
ONT:167,z=6,4,0.005 ,0.005 ,0 ,0.004 ,-0.001 ,0 ,0 
ONT:167,z=6,3,-0.002 ,-0.032 ,-0.018 ,0.002 ,-0.002 ,0 ,0 
ONT:167,z=6,2,0 ,-0.025 ,-0.021 ,0.004 ,-0.01 ,0 ,0 
ONT:167,z=6,1,-0.041 ,-0.034 ,-0.004 ,-0.001 ,-0.01 (H527),-0.002 ,0 
ONT:167,z=7,7,0.025 ,0.009 ,0.009 ,0.003 ,0.003 ,0 ,0 
ONT:167,z=7,6,0.019 ,0.019 ,0.011 ,0.016 ,0.007 ,0 ,0 
ONT:167,z=7,5,0.02 ,0.022 ,0.02 ,0.017 ,0 ,0.001 ,0 
ONT:167,z=7,4,0.032 ,0.023 ,0.01 ,0.006 ,0.001 ,0 ,0 
ONT:167,z=7,3,0.021 ,0.019 ,0.02 ,0.012 ,0 ,0 ,0 
ONT:167,z=7,2,0.054 ,0.039 (H522),0.028 ,0.011 ,0.005 ,0 ,0 
ONT:167,z=7,1,0.038 ,0.037 ,0.015 ,0.016 ,0.006 ,0.002 ,0 
ONT:149,z=3,7,-0.026 ,-0.013 ,-0.003 ,0 ,0 ,0 ,0 
ONT:149,z=3,6,-0.024 ,-0.004 ,-0.024 ,0.003 ,0 ,0 ,0 
ONT:149,z=3,5,-0.008 ,-0.004 ,-0.007 ,0 ,0 ,0 ,0 
ONT:149,z=3,4,-0.02 ,-0.009 ,-0.002 ,0 ,0 ,0 ,0 
ONT:149,z=3,3,-0.018 ,-0.013 ,-0.008 ,0 ,0 ,0 ,0 
ONT:149,z=3,2,-0.017 ,0 (734),-0.001 ,0.001 ,0 ,0 ,0 
ONT:149,z=3,1,-0.022 ,-0.006 ,-0.032 ,0.003 ,0 ,0 ,0 
