Information,Description
Input,20 visits consisting 28 code entries
Time of prediction,2016-07-30
Estimated time of delivery,2016-10-18
Predicted outcome,Prelabor rupture of membranes (PROM)
Predicted probability,0.687 (threshold=0.67)
Sensitivity,0.107 (95% CI 0.104 to 0.11)
Specificity,0.996 (95% CI 0.996 to 0.996)
Positive Predictive Value,0.809 (95% CI 0.798 to 0.82)
Negative Predictive Value,0.873 (95% CI 0.872 to 0.874)
Timing,11 (95% CI 9 to 13)
Area under receiver operating characteristics curve,0.714 95% CI0.712 to 0.716
Timeline 2015-12-21,ONT:169:A09 (positive)
Timeline 2015-12-21,ONT:176:A09 (positive)
Timeline 2015-12-21,root:A09 (negative)
Timeline 2016-02-03,ONT:176:J069 (positive)
Timeline 2016-02-03,ONT:169:J069 (negative)
Timeline 2016-02-03,root:J069 (negative)
Timeline 2016-04-09,root:K30 (positive)
Timeline 2016-04-09,ONT:176:K30 (positive)
Timeline 2016-04-09,ONT:169:K30 (positive)
Timeline 2016-07-30,ONT:158:8878 (positive)
Timeline 2016-07-30,ONT:169:8878 (positive)
Timeline 2016-07-30,root:8878 (positive)
Ontology prediction depicted on the network,root Event (including medical history)
Ontology prediction depicted on the network,ONT:177 Event 
Ontology prediction depicted on the network,ONT:176 Nonevent (including medical history)
Ontology prediction depicted on the network,ONT:175 Nonevent 
Ontology prediction depicted on the network,ONT:174 Nonevent 
Ontology prediction depicted on the network,ONT:173 Nonevent 
Ontology prediction depicted on the network,ONT:172 Nonevent 
Ontology prediction depicted on the network,ONT:171 Nonevent 
Ontology prediction depicted on the network,ONT:170 Nonevent 
Ontology prediction depicted on the network,ONT:169 Nonevent (including medical history)
Ontology prediction depicted on the network,ONT:168 Nonevent 
Ontology prediction depicted on the network,ONT:167 Nonevent 
Ontology prediction depicted on the network,ONT:166 Nonevent 
Ontology prediction depicted on the network,ONT:165 Nonevent 
Ontology prediction depicted on the network,ONT:164 Nonevent 
Ontology prediction depicted on the network,ONT:163 Nonevent 
Ontology prediction depicted on the network,ONT:162 Nonevent 
Ontology prediction depicted on the network,ONT:161 Nonevent 
Ontology prediction depicted on the network,ONT:160 Nonevent 
Ontology prediction depicted on the network,ONT:159 Nonevent 
Ontology prediction depicted on the network,ONT:158 Nonevent (including medical history)
Ontology prediction depicted on the network,ONT:157 Nonevent 
Ontology prediction depicted on the network,ONT:156 Nonevent 
Ontology prediction depicted on the network,ONT:155 Nonevent 
Ontology prediction depicted on the network,ONT:154 Nonevent 
Ontology prediction depicted on the network,ONT:153 Nonevent 
Ontology prediction depicted on the network,ONT:152 Nonevent 
Ontology prediction depicted on the network,ONT:151 Nonevent 
