O411	causal_A03	0.9178074129005723
O469	causal_A06	0.7111465873048933
O235	causal_A10	0.658689048539723
9921	9918	0.5920542057122921
J680	J398	0.5528476632443408
9918	9059	0.48226020837351014
9764	9659	0.482176748734839
9921	5794	0.477517425395373
Z301	697	0.47553472338680153
9918	5794	0.4465475267975431
9764	5794	0.4367797895293995
9921	9059	0.43186175884440814
9789	9764	0.40658415339091164
9659	5794	0.4001389847091756
9789	8905	0.3823692467800477
9921	9659	0.36810984198747465
9921	9396	0.36810132056614564
9929	9921	0.3583747180412567
9616	8602	0.3576966624239579
9764	8905	0.33784868190930106
9396	5794	0.3362508133047699
9775	9616	0.33213797337902307
9059	5794	0.32504555337049723
9789	9659	0.32225110213465874
9918	9659	0.32220999689785806
9659	8905	0.32149342498139544
9396	9059	0.31549358300633923
9918	9764	0.3116005751256962
9357	5794	0.3040616469708631
9918	9396	0.3014974810351649
9659	9396	0.3013269375966778
9918	8905	0.2989546450747056
9921	9764	0.296959695849663
9929	9059	0.2931035648616762
8905	734	0.2868691122566053
9764	9396	0.28304717155077985
J459	9394	0.28286050690591075
9396	8905	0.27559764990702434
9789	734	0.26961955778524876
9929	5794	0.2675116733648427
9616	9131	0.2647853875799481
9929	9396	0.25060644218236106
9139	9059	0.2420664404885168
9775	8602	0.24201817537773787
9131	8602	0.23093361997175504
9659	9059	0.22538088034698306
9789	9396	0.2236390786311303
9918	9789	0.22082378781528966
9059	8905	0.21989882525210314
9789	5794	0.21663258182547482
H522	H521	0.21338614372151268
9929	9918	0.2115985606557342
8905	5794	0.21105090923967043
9764	9059	0.2071870488631319
9775	9764	0.20528070665693193
9616	598	0.2044845819511683
9929	8602	0.20397766513167254
8602	598	0.20296033787813522
9921	9789	0.19999070271870992
9918	734	0.19714373157998155
9659	734	0.19536980687289532
9059	734	0.19421059162903168
9357	9059	0.19173911109535388
K073	H531	0.19119385863833743
9921	8905	0.18947625472160776
9764	734	0.18651674001828494
9921	9357	0.18270169392727265
9396	598	0.1817300235623074
9059	8878	0.18059571520606885
J40	J180	0.18047318179063762
Q501	N946	0.17277674783100516
9921	598	0.1691452373170375
9396	9357	0.16878195265633225
7534	5794	0.1682774655416563
9918	9357	0.16551254920581382
9929	9775	0.16346039901461082
9918	598	0.16309211469276147
9929	9357	0.1621518011805508
9921	734	0.16137920603262815
9918	897	0.15853139168032748
Z349	8878	0.15757583856870713
9396	734	0.1562283792578843
K073	H811	0.15341605084340118
9764	8602	0.15282354868349704
9059	598	0.1526927973840991
9789	9059	0.14905534177365148
H527	H521	0.14894871858129868
O469	O441	0.14797862305773912
N760	B379	0.1472730674431217
Z018	9131	0.14519987808962412
O441	causal_A06	0.14420643200641786
H527	H522	0.14352576198209982
9929	9616	0.14208192582630794
9764	598	0.1412797193959466
H811	H531	0.1406636024607416
9396	8602	0.1376583193470596
9929	598	0.13650125458827414
9764	9616	0.13507135424408895
9929	7534	0.13404956122143125
9357	897	0.13335786365151686
9616	9059	0.1314785681462768
9659	7534	0.13146840502031115
9921	7534	0.13094981523108803
M545	E780	0.1301866025488953
J680	I959	0.12993830525659694
9059	7534	0.12993337325803692
734	5794	0.12966846180104025
Z018	8602	0.12743413928410666
9131	598	0.12446729759512813
9918	9716	0.12442596413621151
9775	7534	0.1236497242608034
N832	8879	0.12330351351860759
O311	O262	0.1224825387016876
R12	H811	0.12238565382439126
897	697	0.12218064285855779
I500	8749	0.12107195872427326
9775	9659	0.12026826530089017
9918	8878	0.11978347543206827
9918	9775	0.11946403725121568
I219	B373	0.1178679764799438
9059	897	0.11463849865533261
Z301	897	0.11354828035079514
9918	7534	0.11301885689526883
897	8905	0.11297066735084277
9918	8602	0.1094431007812854
9921	897	0.10736714901557376
9921	8878	0.10734658783137807
9775	598	0.10640415889908884
N832	H669	0.10615608809970653
Z320	J680	0.10542958490642415
J398	I959	0.10495940302937032
O441	O440	0.10433720262975714
897	8878	0.10404755809370485
R69	9716	0.10195812234907392
Q501	N832	0.10146713141141886
8879	7171	0.10138267842789013
9929	9764	0.10124205974077595
9929	9139	0.10041277112744106
9929	8878	0.10017157266850638
N832	D259	0.09951428404034232
Z320	J398	0.09910289058530927
Q501	8879	0.0990535333753534
897	7171	0.09890811454920315
9918	9616	0.09881286933704579
9764	9131	0.09875517215163887
N946	8879	0.09724494159492345
9659	598	0.09722041664942145
9775	5794	0.09645861533279078
9396	8878	0.09593891219349142
8878	7534	0.09484494174519041
9389	7534	0.09432441932354588
J459	8749	0.09411435127872711
9921	9775	0.09408479938993579
9716	5794	0.0937435839611152
9775	9139	0.09085579570102353
897	598	0.09052905997085603
M545	J40	0.09051563627514247
9918	9139	0.09042073622432113
Z090	D259	0.08821825794551398
9357	697	0.08807130507285613
Z018	9616	0.08719291196296161
9139	7534	0.08693301190419798
8878	5794	0.08612177801570717
Z090	Z018	0.08545263264557384
O410	9921	0.0853731267081743
I849	I842	0.08513649632516905
9904	9059	0.08505128097927497
9131	9059	0.08460144571625852
9396	9139	0.08412080167631812
9921	8602	0.08394126056204647
9783	9357	0.08368537424198547
9139	598	0.08367356683579731
O622	734	0.08349255927394769
R12	9716	0.08313123455683334
I849	H669	0.08245306328162497
9716	9059	0.08227797701118289
N390	K30	0.08219541771583343
9764	7534	0.08191633080051836
Z038	8749	0.08105788702925598
9918	9131	0.08081592749762803
9139	897	0.08048187869962695
9929	9659	0.08047889636831401
9775	9131	0.08035270899190318
8905	598	0.08031813957407813
9929	9716	0.08006026028325094
B909	9394	0.07985123618512636
K297	K291	0.07958331487266714
9783	897	0.07947736276141125
K30	K297	0.0793549731771358
K297	J069	0.07932227134244198
N832	8749	0.079134401158424
897	8876	0.07882987833530983
8905	8878	0.07845971273620815
O410	9059	0.07841535639703598
O410	9918	0.07806440518535188
9929	9131	0.07791175191600584
7534	697	0.077714759256737
9394	8749	0.07717135229075119
9139	5794	0.076497387631964
9139	8878	0.07531967590393288
9396	7534	0.07470270808639741
9059	8602	0.0743512679312781
9659	8878	0.07432169024718029
O149	O141	0.07409687716069606
R53	9394	0.07403210357503759
M545	B373	0.07402173877050731
D500	9904	0.07390968936077186
9396	897	0.07364629762721338
9396	9394	0.07304235944775916
9059	6909	0.07245897606475199
K290	9783	0.07232979816259329
O410	9396	0.0721497606547987
J060	B373	0.07206499320041494
9775	9059	0.07180819163792126
N920	M069	0.07115718900051626
O410	734	0.07083176250207655
E780	B373	0.07035243759551879
Z301	O13	0.07004711960857112
9921	9139	0.07004609524079684
O365	O141	0.06926595980481172
8876	7171	0.06903118332429384
8878	598	0.06876638543261442
causal_A10	9789	0.06875177197936613
O469	O440	0.06863458016313702
K30	J069	0.0675906580897047
9921	9616	0.06748625614720358
Z038	R53	0.06745089666658834
O479	K029	0.06726809245996963
J680	A09	0.06713423509811463
K30	A09	0.06710681990845496
Z018	D500	0.06701380342138742
7534	734	0.06614910028905176
D259	8879	0.06610996173904829
O321	9659	0.06564929429843036
9918	9904	0.06515686679550171
9716	9659	0.06487245636283533
O141	9139	0.0648541703460157
K290	D259	0.06433761389735652
9918	6909	0.06413569895531838
9357	598	0.06407675261311767
9059	697	0.06403839513285735
N832	I849	0.06394063295757593
Z710	H522	0.06371208401885907
Z309	Z300	0.06210208954901642
9059	8749	0.06201458043148223
9764	9357	0.062008671015466435
Z710	H527	0.06195427740528927
O342	5794	0.06180721941173359
N390	I10	0.06157687650221474
734	7171	0.061573805831962106
N946	N832	0.06132420492429567
O860	697	0.061177497398912414
9904	9396	0.061133793356067
N946	A09	0.06111639505561325
J459	B909	0.061113530171532295
Z301	O141	0.06054543439856997
O141	7534	0.06048821096744771
K291	E780	0.060322229518609896
9921	9716	0.05959151417945646
I849	I500	0.05949060836407542
Z301	O860	0.05945580861687414
R12	K30	0.05894402819736723
Z301	9357	0.058502881978311355
J398	9716	0.058177386712300896
N832	N390	0.05797725642715726
K290	I10	0.05765208313287261
Z719	K290	0.05758642957423329
O410	5794	0.057528628358993264
9929	8905	0.05737162684090975
O140	9139	0.056920842605746924
O342	9059	0.05685890199334382
Z300	K290	0.056809387872431887
M069	L024	0.056531755214443244
N946	N390	0.0563909376456615
K291	J069	0.056265344291405825
O363	H521	0.05616417916006648
O610	734	0.05613191836997716
causal_A10	9764	0.05601757419097911
M069	I10	0.05595631394440425
Z300	B373	0.05595266842259962
O479	K291	0.05586536527352544
9764	9716	0.055760464699381534
O141	9904	0.0557549583352447
K297	A09	0.05566978865725426
J069	I849	0.05539407595376439
8602	697	0.055094850265521716
Z099	N390	0.05499627962410906
9396	697	0.05483506274033176
D259	9783	0.05438706929230475
Z354	I842	0.05396955092612988
J069	H669	0.053749414805831994
O321	9764	0.053497066090705196
O342	8878	0.05340019053210863
O342	9921	0.053251480398080184
9659	9139	0.05317891873123323
R12	I10	0.05290946733487338
9389	5794	0.05283579827764127
I10	D259	0.052679556260105655
J069	A09	0.0523291475872378
J459	J180	0.052272215061280415
H669	H663	0.05224553454725665
O13	9131	0.0521287291203396
Z719	N946	0.05210392713702771
O268	N920	0.05181523959985505
9783	5794	0.05179393897626067
K30	K291	0.051791010872383414
Z305	Z301	0.05151300457562741
O365	B379	0.05142415370937544
Z300	B909	0.05140826747352181
9918	7171	0.051114148979048694
Z355	9775	0.05094617073871981
O410	9659	0.050925498419337724
8905	8602	0.05063219497287298
M545	J069	0.05044829994276413
9139	734	0.05041216020310627
Z090	B373	0.05027785819029612
Z719	O479	0.050206133622239475
Z018	D259	0.05018259407753944
causal_A10	9659	0.050144386591542
H531	H527	0.050074944277453
O441	9904	0.04998157972720831
I500	I10	0.04997876203081958
O600	O469	0.049704395398622085
O268	M069	0.049699506853138814
Z090	D500	0.049593523877695285
O342	9789	0.04945161335874261
Z018	598	0.0492505825415087
8876	6909	0.04924756092235459
K297	J40	0.04911132865597615
9764	697	0.04907945114461619
O268	9775	0.0490287257495926
8602	5794	0.04900357879188793
Z038	B909	0.048942732536091896
897	8602	0.048871077484037906
O321	5794	0.04871778833688619
Z719	O109	0.048696725739036884
N832	M069	0.04868641826809843
9716	9131	0.04844069735442866
O141	697	0.04843513862615684
H531	H522	0.04817240691022468
Z018	9764	0.048105037578304886
9775	8879	0.04800746276789979
O610	O410	0.048005574808423636
9918	8876	0.04796803882882311
O410	O365	0.047880177453520086
9616	9396	0.04787241555555013
Z301	O321	0.04772179480358435
Z369	Z368	0.047637683790904585
J180	E780	0.047342038998772235
9357	8878	0.04726662450882501
O150	O149	0.04721574259703565
M545	J180	0.047198585028368496
Z038	I500	0.046762367767098516
O410	598	0.046728777884638126
I10	H811	0.046682799680239584
O321	9396	0.04667659738622699
697	5794	0.04652684393069977
O410	9929	0.04636526134768019
J180	I959	0.04630066738515583
H663	H531	0.04609683107415313
N390	K297	0.04601344794187008
Z000	K073	0.045917543948116916
O600	O441	0.04587105535086676
J459	I10	0.04583606643481855
J40	897	0.04553681110014189
9921	6909	0.04523816888004842
O619	O410	0.04515829603650204
Z355	9131	0.04505442127739043
O109	I10	0.04503951281932299
9059	8876	0.04490842086395186
Z301	O441	0.04482063855387644
O901	O13	0.044804785047241745
9904	5794	0.04478404893970327
O150	9139	0.04470154643373994
O13	9139	0.04465200065061091
O342	9357	0.04464933824171222
N832	J069	0.04462982295434768
9921	9904	0.04446727983071387
J459	J069	0.04434669314917721
R53	causal_A11	0.044237703159922516
O469	9131	0.044022981410740306
9659	8602	0.043919517773366466
J459	J40	0.0438988599387435
9131	8905	0.043788905122628875
Z305	N832	0.04367281285140148
897	5794	0.043547118765237605
M545	K297	0.0434675155734655
O321	9921	0.04338408067076374
Z710	H521	0.04336679587710409
Z090	J680	0.043334913620826185
K297	K029	0.043266595710242384
O441	9918	0.04326508110834982
897	734	0.04322634617717971
