Level,Effect on,Factor,Label,Citation,Data availability,Mathematical model
First,PROM,Multiple pregnancy,A02,ACOG (2016a),Yes,outcome ~ A02 + A20
First,PROM,Chorioamnionitis,A03,"Fukami T, et al (2017)",Yes,outcome ~ A03 + A15 + A28 + A04 + A10 + A11 + A13 + A02 + A20 + A19
First,PROM,IAI,A04,ACOG (2016a),Yes,outcome ~ A04 + A02 + A10 + A11 + A13 + A20 + A15 + A28 + A19
First,PROM,Cervical shortening,A05,ACOG (2016a),No,NA
First,PROM,APH,A06,ACOG (2016a),Yes,outcome ~ A06 + A19 + A20 + A10 + A19 + A15 + A28
First,PROM,Low BMI,A07,ACOG (2016a),No,NA
First,PROM,Cigarette smoking,A08,ACOG (2016a),No,NA
First,PROM,Illicit drug use,A09,ACOG (2016a),No,NA
First,PROM,GTI,A10,"Pandey D, et al (2019); Yan JJ, et al (2016)",Yes,outcome ~ A10 + A19 + A15 + A28
First,PROM,Periodontal disease,A11,"Figueiredo MGOP, et al (2019)",Yes,outcome ~ A11 + A15 + A20 + A28
First,PROM,Polyhydramnios,A12,"Odibo IN, et al (2016)",Yes,outcome ~ A12 + A02 + A20
First,PROM,Pneumonia,A13,"Getahun D, et al (2007)",Yes,outcome ~ A13 + A15 + A28
First,PROM,Tuberculosis,A14,"Fernández AA, et al (2017)",No,NA
First,PROM,Asthma,A15,"Baghlaf H, et al (2019)",Yes,outcome ~ A15 + A28
First,PROM,Previous preterm birth,A16,ACOG (2016a),No,NA
First,PROM,Family history of preterm birth,A17,ACOG (2016a),No,NA
First,PROM,Previous PROM,A18,ACOG (2016a),No,NA
First,PROM,Low SES,A19,ACOG (2016a),Yes,outcome ~ A19
First,PROM,Maternal age,A20,"Song J, et al (2019)",Yes,outcome ~ A20
First,PROM,Race,A21,Fiscella K (1996),No,NA
First,PROM,Low education,A22,"Wang W, et al (2020)",No,NA
First,PROM,Stress,A23,"Wang W, et al (2020)",No,NA
First,PROM,Uterine anomaly,A24,"Hua M, et al (2011)",No,NA
First,PROM,Assisted reproduction,A25,"Lei LL, et al (2019)",No,NA
First,PROM,Conization,A26,"Zhuang H, et al (2019)",No,NA
First,PROM,Placenta on anterior wall,A27,"Torricelli M, et al (2015)",No,NA
First,PROM,Influenza,A28,"Littauer EQ, et al (2017)",Yes,outcome ~ A28
First,Multiple pregnancy,Maternal age,A20,"Thilaganathan B, and Khalil A (2014); Martin JA, and Osterman MJK (2019)",No,NA
First,Multiple pregnancy,Race,A21,"Martin JA, and Osterman MJK (2019)",No,NA
First,Multiple pregnancy,Assisted reproduction,A25,"Thilaganathan B, and Khalil A (2014)",No,NA
First,Chorioamnionitis,IAI,A04,"Tantengco OAG, et al (2019)",No,NA
First,Chorioamnionitis,Cigarette smoking,A08,"Kim CJ, et al (2015)",No,NA
First,Chorioamnionitis,Asthma,A15,"Baghlaf H, et al (2019)",No,NA
First,Chorioamnionitis,Influenza,A28,"Kim CJ, et al (2015)",No,NA
First,IAI,Multiple pregnancy,A02,"Lee SM, et al (2020)",No,NA
First,IAI,Cervical shortening,A05,"Kiefer DG, et al (2009)",No,NA
First,IAI,GTI,A10,"Romero R, et al (2019); Tantengco OAG, et al (2019)",No,NA
First,IAI,Periodontal disease,A11,"Stinson LF, et al (2019)",No,NA
First,IAI,Pneumonia,A13,"Stinson LF, et al (2019)",No,NA
First,IAI,Race,A21,"Menon R, et al (2011)",No,NA
First,Cervical shortening,GTI,A10,"Sendag F, et al (2010)",No,NA
First,Cervical shortening,Maternal age,A20,"Tan P C, et al (2011)",No,NA
First,Cervical shortening,Race,A21,"Dijkstra K, et al (1999)",No,NA
First,Cervical shortening,Stress,A23,"Dijkstra K, et al (1999)",No,NA
First,Cervical shortening,Uterine anomaly,A24,"Guimarães FHA, et al (2013)",No,NA
First,Cervical shortening,Conization,A26,"Guimarães FHA, et al (2013)",No,NA
First,APH,Cigarette smoking,A08,"Bhandari S, et al (2014)",No,NA
First,APH,Illicit drug use,A09,"Bhandari S, et al (2014)",No,NA
First,APH,Low SES,A19,"Bhandari S, et al (2014)",No,NA
First,APH,Maternal age,A20,"Fan D, et al (2017)",No,NA
First,APH,Race,A21,"Shen JJ, et al (2005)",No,NA
First,APH,Assisted reproduction,A25,"Qin J, et al (2016)",No,NA
First,APH,Placenta on anterior wall,A27,"Fan D, et al (2017)",No,NA
