Causal factor,Variable,Demographics or medical history,Description
Multiple pregnancy,causal_A02,O300,Twin pregnancy
Multiple pregnancy,causal_A02,O301,Triplet pregnancy
Multiple pregnancy,causal_A02,O302,Quadruplet pregnancy
Multiple pregnancy,causal_A02,O308,Other multiple gestation
Multiple pregnancy,causal_A02,O309,"Multiple gestation, unspecified"
Multiple pregnancy,causal_A02,O310,Papyraceous fetus
Multiple pregnancy,causal_A02,O311,Continuing pregnancy after abortion of one fetus or more
Multiple pregnancy,causal_A02,O312,Continuing pregnancy after intrauterine death of one fetus or more
Multiple pregnancy,causal_A02,O318,Other complications specific to multiple gestation
Chorioamnionitis,causal_A03,O411,Infection of amniotic sac and membranes
IAI,causal_A04,O418,Other specified disorders of amniotic fluid and membranes
IAI,causal_A04,O419,"Disorder of amniotic fluid and membranes, unspecified"
Cervical shortening,causal_A05,6751,Transabdominal cerclage of cervix
APH,causal_A06,O460,Antepartum haemorrhage with coagulation defect
APH,causal_A06,O468,Other antepartum haemorrhage
APH,causal_A06,O469,"Antepartum haemorrhage, unspecified"
Illicit drug use,causal_A09,F190,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, acute intoxication"
Illicit drug use,causal_A09,F195,NA
Illicit drug use,causal_A09,F197,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, residual and late-onset psychotic disorder"
Illicit drug use,causal_A09,F199,"Mental and behavioural disorders due to multiple drug use and use of psychoactive substances, unspecified mental and behavioural disorder"
GTI,causal_A10,9141,"Microscopic examination of specimen from female genital tract, Bacterial smear"
GTI,causal_A10,9143,"Microscopic examination of specimen from female genital tract, Culture and sensitivity"
GTI,causal_A10,9149,Other microscopic examination of specimen from female genital tract
GTI,causal_A10,A600,Herpesviral infection of genitalia and urogenital tract
GTI,causal_A10,A601,Herpesviral infection of perianal skin and rectum
GTI,causal_A10,A609,"Anogenital herpesviral infection, unspecified"
GTI,causal_A10,A630,Anogenital (venereal) warts
GTI,causal_A10,A631,
GTI,causal_A10,A638,Other specified predominantly sexually transmitted diseases
GTI,causal_A10,O235,Infections of the genital tract in pregnancy
GTI,causal_A10,O239,Other and unspecified genitourinary tract infection in pregnancy
GTI,causal_A10,R870,"Abnormal findings in specimens from female genital organs, abnormal level of enzymes"
GTI,causal_A10,R871,"Abnormal findings in specimens from female genital organs, abnormal level of hormones"
GTI,causal_A10,R875,NA
GTI,causal_A10,R878,"Abnormal findings in specimens from female genital organs, other abnormal findings"
Periodontal disease,causal_A11,K05,NA
Periodontal disease,causal_A11,K050,Acute gingivitis
Periodontal disease,causal_A11,K051,Chronic gingivitis
Periodontal disease,causal_A11,K052,Acute periodontitis
Periodontal disease,causal_A11,K053,Chronic periodontitis
Periodontal disease,causal_A11,K054,Periodontosis
Periodontal disease,causal_A11,K055,Other periodontal diseases
Periodontal disease,causal_A11,K056,"Periodontal disease, unspecified"
Polyhydramnios,causal_A12,O40,Polyhydramnios
Pneumonia,causal_A13,J120,Adenoviral pneumonia
Pneumonia,causal_A13,J121,Respiratory syncytial virus pneumonia
Pneumonia,causal_A13,J122,Parainfluenza virus pneumonia
Pneumonia,causal_A13,J128,Other viral pneumonia
Pneumonia,causal_A13,J129,"Viral pneumonia, unspecified"
Pneumonia,causal_A13,J13,Pneumonia due to Streptococcus pneumoniae
Pneumonia,causal_A13,J14,Pneumonia due to Haemophilus influenzae
Pneumonia,causal_A13,J150,Pneumonia due to Klebsiella pneumoniae
Pneumonia,causal_A13,J151,Pneumonia due to Pseudomonas
Pneumonia,causal_A13,J152,Pneumonia due to staphylococcus
Pneumonia,causal_A13,J153,"Pneumonia due to streptococcus, group B"
Pneumonia,causal_A13,J154,Pneumonia due to other streptococci
Pneumonia,causal_A13,J156,Pneumonia due to other aerobic Gram-negative bacteria
