Term,Description,Classification weight,Estimation weight
Intercept,Intercept,1.5721808821146893e-4,36.42508509756357
causal_A03,Chorioamnionitis,0.5188743392186367,-491.30262015088755
causal_A04,IAI,0.058653464260040915,-37.99921572515364
causal_A10,GTI,0.057573341793443325,-34.365454896672276
causal_A02,Multiple pregnancy,0.008023404103791867,-169.66800660988108
causal_A28,Influenza,-0.004377802063907277,202.0759325552151
causal_A13,Pneumonia,-0.008871766986338205,206.24329974532378
causal_A15,Asthma,-0.01894822188958223,95.62469541705542
causal_A11,Periodontal disease,-0.02553684772898537,259.4656853609201
causal_A06,APH,-0.07668744107055263,-32.45530641469773
