Term,Classification variable importance,Estimation variable importance
PC354,100,14.714994429333009
PC20,92.59877602765381,60.306416483912294
PC1,82.39449480067094,32.53768371541575
PC363,75.97750876144573,8.158818424217042
PC5,73.9112728076612,23.275099866191855
PC331,71.07392411436423,10.995198737175599
PC10,59.4544219492974,94.53230532284313
PC364,56.18021064714287,23.82005674006185
PC21,53.02639256581304,58.54138092019203
PC6,50.251266296035844,100
PC365,45.073725399766495,28.939449538053967
PC366,40.01377804417021,29.719271425621812
PC31,38.5661986606693,12.144720315553478
PC222,36.93113744036772,3.292762017303838
PC319,35.07692711274997,7.972983347451571
PC371,33.74030378377918,18.040859587935525
PC372,32.740774425804844,15.141066050278745
PC367,32.086428972463914,53.63006756289186
PC29,31.83160291433471,9.433437316990972
PC294,31.14133768481759,4.914826371014966
PC245,27.74482489280155,1.745906742613421
PC259,25.449430508091297,3.506038646937771
PC30,24.80842965204252,6.827508433382076
PC177,24.78859801072003,2.7100072782110867
PC370,24.686852748849585,5.110432832035213
PC71,24.594664400713448,2.687606022815482
PC275,23.630657936025955,1.9323957286791797
PC307,21.575422034312282,5.7410329168306875
PC268,21.50101400685842,1.6252747319928225
PC57,21.16848873004835,5.894457600993781
PC114,20.583381031127157,3.494728219650467
PC95,20.31884241998947,2.9355705930754894
PC287,19.39441033097941,2.628771533029864
PC56,17.53532026762137,2.930922121354563
PC269,17.441454344777103,2.7140146044801803
PC251,17.424321755165593,3.8553859678431626
PC139,16.50239048928279,3.049414431006197
PC32,16.250700190678806,6.608005627922204
PC77,16.19982114132515,2.118323182666503
PC100,15.781154916595458,2.54569545537833
PC173,13.98931963517202,2.493484817893302
PC194,13.358634201104955,3.674712650633235
PC279,12.196941591867244,1.8736564814635956
PC187,11.858162073170988,4.521054796796916
PC213,10.679004805332799,0
PC291,9.547920385168023,2.1385687346459474
PC65,9.513976965987762,3.4349309053534656
PC125,9.179492264679887,3.7206733273040062
PC132,8.244560233440907,1.4259686646997076
PC181,8.092341430940223,0.8952994506480563
PC221,7.084012552560376,2.560739358735716
PC155,6.346241937853869,2.8344686322627193
PC68,6.058677782918057,6.774075622062578
PC165,5.879950841410817,3.9462332101530904
PC106,5.808372405639509,2.057114915922699
PC97,4.691876626684428,3.768699972126062
PC93,3.5606133238465185,1.9299503845690673
PC131,3.511685072872605,1.2560548373166684
PC193,2.6203142896285008,1.7568762682605883
PC72,0,1.6307804083638004
