Predictor,Description,log(Fold change),Normalized average of global value,t statistic,p-value,FDR or adjusted p-value,B statistic
9059,"Microscopic examination of blood, Other microscopic examination",0.016175222905908972,0.025484202040933802,19.528283378113905,p<1e-08,p<1e-08,178.44126368917915
734,Flat foot,0.004712775064940583,0.0031555941803324294,17.783096620296593,p<1e-08,p<1e-08,146.01470759299374
9929,Injection or infusion of other therapeutic or prophylactic substance,0.003385978398444403,0.0041517761551529446,11.564353110400818,p<1e-08,p<1e-08,54.99955548733685
9921,Injection of antibiotic,0.0026365888499515263,0.004642399792159775,11.349633643215318,p<1e-08,p<1e-08,52.54323684321615
Z018,Other specified special examinations,0.0015130731708387112,5.224224339526541e-4,11.320554730150109,p<1e-08,p<1e-08,52.21411251516267
8878,Diagnostic ultrasound of gravid uterus,0.008008806541783127,0.024441066499465515,11.220006210150306,p<1e-08,p<1e-08,51.082560653827
9131,"Microscopic examination of specimen from bladder, urethra, prostate,seminal vesicle, perivesical tissue, and of urine and semen, Bacterial smear",8.87466192668712e-4,2.439006874577022e-4,10.379378806905844,p<1e-08,p<1e-08,42.016252627230315
R202,Paraesthesia of skin,5.439913113203989e-4,8.748515501334708e-5,9.59455817266835,p<1e-08,p<1e-08,34.18727739555901
5794,Insertion of indwelling urinary catheter,0.0015558589135001323,0.0022499749758293774,9.522814112072165,p<1e-08,p<1e-08,33.50221841707467
O610,Failed medical induction of labour,0.001434632299967561,8.754799534976329e-4,9.461025965230213,p<1e-08,p<1e-08,32.916337349479235
O411,Infection of amniotic sac and membranes,5.818364754192937e-4,1.4521019483184386e-4,9.270741684791606,p<1e-08,p<1e-08,31.135952674818423
causal_A03,Chorioamnionitis,3.2939649174240675e-4,8.681103036487275e-5,9.19541973091836,p<1e-08,p<1e-08,30.44117977108777
9918,Injection or infusion of electrolytes,0.00384000799238384,0.010244502448095076,8.590507345921157,p<1e-08,p<1e-08,25.066602758648973
B379,"Candidiasis, unspecified",4.137277432660112e-4,7.117811284365188e-5,8.392968387721641,p<1e-08,p<1e-08,23.390540165109773
B909,Sequelae of respiratory and unspecified tuberculosis,4.1902424827750597e-4,9.647416555838087e-5,8.124699088343098,p<1e-08,p<1e-08,21.176679773293397
9139,"Microscopic examination of specimen from bladder, urethra, prostate,seminal vesicle, perivesical tissue, and of urine and semen, Other microscopic examination",0.0020466922030091587,0.002187652730325231,7.879985293928268,p<1e-08,p<1e-08,19.21983148831928
O363,Maternal care for signs of fetal hypoxia,8.368888627215284e-4,4.2392003323703996e-4,7.818334887260217,p<1e-08,p<1e-08,18.736268515583248
