Ontology,Dimension 1,Dimension 2,Dimension 3,Predictor,Description,Classification Output,Estimation Output
ONT:144,7,2,3,9059,"Microscopic examination of blood, Other microscopic examination",0.0020469180856259456,2.7732560881716826e-4
ONT:147,6,7,2,8602,Injection or tattooing of skin lesion or defect,-1.6555383428521527e-4,-1.282924196229114e-6
ONT:147,5,6,6,9775,Removal of vaginal or vulvar packing,-2.189034696661596e-4,3.883174817826199e-5
ONT:147,5,6,8,9616,Other vaginal dilation,-5.334270637716073e-4,-1.319097926767562e-4
ONT:149,3,1,1,O622,Other uterine inertia,-8.888148255180234e-4,0.0036025422952712383
ONT:149,2,2,3,734,Flat foot,1.5896772923063712e-4,9.895566949594294e-4
ONT:150,6,3,1,Z301,Insertion of (intrauterine) contraceptive device,0.0020290200055622237,-0.0018332622626702072
ONT:150,7,4,2,697,Insertion of intrauterine contraceptive device,2.7075668044439227e-4,-1.082343414846032e-5
ONT:155,5,1,2,598,Ureteral catheterization,-0.01392712017520964,-5.4131538795777756e-5
ONT:156,6,6,4,O235,Infections of the genital tract in pregnancy,3.083675614076742e-4,1.553817123605694e-4
ONT:158,6,5,1,Z349,"Supervision of normal pregnancy, unspecified",8.631356474755186e-5,-1.292080056197742e-6
ONT:158,7,2,3,9059,"Microscopic examination of blood, Other microscopic examination",-9.408979680642915e-4,2.2552483613484664e-5
ONT:158,7,3,3,8878,Diagnostic ultrasound of gravid uterus,-0.0017646087163578766,2.0740992992707152e-5
ONT:160,2,1,1,8905,"Diagnostic interview and evaluation, not otherwise specified",3.830238417054481e-4,2.0782942847241692e-6
ONT:161,2,1,1,8905,"Diagnostic interview and evaluation, not otherwise specified",-0.0011929796718015973,-4.0840820136496016e-4
ONT:161,6,7,1,9659,Other irrigation of wound,-5.882584752668375e-4,4.431100213726346e-5
ONT:161,4,2,2,9764,Removal of other urinary drainage device,-0.0033953978284307906,9.2669777766681e-4
ONT:161,6,6,2,9789,Removal of other therapeutic device,-0.007824439070602596,-3.97573426544286e-4
ONT:161,3,7,2,9396,Other oxygen enrichment,0.002249034461465932,-6.333352443982573e-4
ONT:161,7,2,3,9059,"Microscopic examination of blood, Other microscopic examination",-6.280481208588706e-4,4.916184368611298e-5
ONT:161,7,4,3,5794,Insertion of indwelling urinary catheter,0.0025021004924637436,-9.581939182724472e-5
ONT:162,3,2,1,9918,Injection or infusion of electrolytes,-2.7607875460513784e-4,4.5277082942944864e-5
ONT:162,4,2,2,9764,Removal of other urinary drainage device,1.2736569189454594e-4,-1.9330440865557297e-5
ONT:163,2,1,1,8905,"Diagnostic interview and evaluation, not otherwise specified",-0.003483368896269887,-3.96861100262845e-4
ONT:163,5,1,2,598,Ureteral catheterization,4.8703610386559293e-4,-6.8431622278486426e-009
ONT:163,4,2,2,9764,Removal of other urinary drainage device,0.0028911010837286014,2.121328154296165e-6
ONT:163,3,7,2,9396,Other oxygen enrichment,-4.5517187122630365e-4,3.1179572891362056e-5
ONT:163,2,2,3,734,Flat foot,0.0032645974304414405,-3.4918616113703907e-4
ONT:163,2,6,4,9131,"Microscopic examination of specimen from bladder, urethra, prostate,seminal vesicle, perivesical tissue, and of urine and semen, Bacterial smear",0.002055483462399487,1.2336076048621164e-4
ONT:163,5,6,6,9775,Removal of vaginal or vulvar packing,-2.329068981040544e-5,-6.652823101443994e-9
ONT:164,7,3,1,N946,"Dysmenorrhoea, unspecified",0.006175768943191747,-3.1187120222017466e-4
ONT:165,6,5,3,H521,Myopia,-5.215468738040963e-4,0.005144103637673592
ONT:166,4,4,12,O311,Continuing pregnancy after abortion of one fetus or more,-3.538069321196158e-4,-3.5665757129599296e-7
ONT:166,5,3,2,O262,Pregnancy care of habitual aborter,9.348205957396272e-4,-3.6477633524892306e-5
ONT:167,6,5,3,H521,Myopia,0.001312564368156098,1.5715829290259206e-5
ONT:167,1,5,6,H527,"Disorder of refraction, unspecified",-0.009711432105852319,4.18801237387495e-6
ONT:167,2,2,7,H522,Astigmatism,0.038991883511213826,-2.030184135043897e-4
ONT:168,1,3,1,O469,"Antepartum haemorrhage, unspecified",-5.1337389110174894e-5,-0.009065751425681334
ONT:168,1,5,7,causal_A06,APH,0.002378223894894553,-0.002198057044822649
ONT:169,2,1,1,8905,"Diagnostic interview and evaluation, not otherwise specified",-9.595528235387119e-7,-7.154955274091268e-10
ONT:169,4,1,1,O410,Olihydramnios,-9.481556297544214e-5,8.98493066840006e-8
ONT:169,5,1,1,Z309,"Contraceptive management, unspecified",-6.488662245564963e-5,2.8362078857268463e-7
ONT:169,5,2,1,K30,Dyspepsia,-1.1009293182173696e-4,1.3201209267399427e-6
ONT:169,7,2,1,9357,Application of other wound dressing,2.0430096087483557e-4,-4.839499890585408e-5
ONT:169,6,3,1,Z301,Insertion of (intrauterine) contraceptive device,-4.68817121960341e-4,1.6054365111872748e-5
ONT:169,7,3,1,N946,"Dysmenorrhoea, unspecified",5.170175145142036e-4,-5.7742879154387694e-5
ONT:169,4,4,1,J180,"Bronchopneumonia, unspecified",-3.9843496292372993e-4,2.7567922516180676e-6
ONT:169,5,4,1,B909,Sequelae of respiratory and unspecified tuberculosis,-1.4043522641644934e-4,2.1092677068290655e-6
ONT:169,7,4,1,N832,Other and unspecified ovarian cysts,5.089465643121974e-4,-5.050806802406327e-5
ONT:169,6,5,1,Z349,"Supervision of normal pregnancy, unspecified",2.3790192898262563e-4,2.8845546285599655e-6
ONT:169,7,5,1,H669,"Otitis media, unspecified",3.0741716357687854e-4,-3.3260383085990247e-7
ONT:169,6,6,1,I10,Essential (primary) hypertension,2.343592419840751e-5,-1.1877225757073173e-7
ONT:169,4,7,1,9716,Replacement of wound packing or drain,2.0541026991669972e-5,-2.9460937994718606e-9
ONT:169,4,4,11,Q501,Developmental ovarian cyst,-1.4855755970587595e-4,-2.3343025200295298e-6
ONT:169,2,1,2,O441,Placenta praevia with haemorrhage,-3.4665530816019308e-6,-3.178766382061493e-10
ONT:169,3,1,2,B373,Candidiasis of vulva and vagina,2.431845414532785e-5,-9.496974220923882e-9
ONT:169,4,1,2,O268,Other specified pregnancy-related conditions,1.0853941997732153e-4,9.623250991214194e-8
ONT:169,5,1,2,598,Ureteral catheterization,9.118614760894594e-5,-4.492842198243474e-7
ONT:169,3,2,2,Z038,Observation for other suspected diseases and conditions,9.8001242852086e-5,6.37293504912595e-8
ONT:169,4,2,2,9764,Removal of other urinary drainage device,1.2744361950937227e-4,-9.8117922554819e-7
ONT:169,6,2,2,8879,Other diagnostic ultrasound,7.600381220601582e-5,1.981426679995013e-6
ONT:169,7,2,2,O13,Gestational [pregnancy-induced] hypertension without significant proteinuria,2.2447318224033674e-4,1.3385232532150959e-5
ONT:169,2,3,2,D259,"Leiomyoma of uterus, unspecified",9.21914514122324e-6,4.170628890853845e-9
ONT:169,3,3,2,9394,Respiratory medication administered by nebulizer,7.761504554215648e-5,1.1050418787655891e-7
ONT:169,2,4,2,Z090,Follow-up examination after surgery for other conditions,-2.1613702979220162e-5,1.5720146774589328e-8
ONT:169,5,4,2,J680,"Bronchitis and pneumonitis due to chemicals, gases, fumes and vapours",-5.165144120438669e-4,-3.483106508467282e-6
ONT:169,7,4,2,697,Insertion of intrauterine contraceptive device,-6.684046937777688e-4,9.624780294745228e-6
ONT:169,3,5,2,N390,"Urinary tract infection, site not specified",-2.269160921580804e-6,5.012401187165505e-8
ONT:169,6,5,2,I842,Internal haemorrhoids without complication,-6.175161114984062e-4,-6.376605377333977e-7
ONT:169,6,6,2,9789,Removal of other therapeutic device,1.0134140382866974e-5,-1.1410132799011263e-7
ONT:169,4,7,2,R53,Malaise and fatigue,-2.3892094468458414e-5,5.1482907173494574e-9
ONT:169,5,7,2,9904,Transfusion of packed cells,2.730594320066171e-5,-3.572015808139817e-10
ONT:169,6,7,2,8602,Injection or tattooing of skin lesion or defect,1.5195755040914305e-5,-6.857833467766028e-9
ONT:169,3,1,3,O342,Maternal care due to uterine scar from previous surgery,4.675343409601962e-6,-7.1516781940950125e-9
ONT:169,2,2,3,734,Flat foot,-7.426198703919251e-6,-6.455845129316184e-10
ONT:169,4,2,3,Z719,"Counselling, unspecified",-1.262709751344987e-4,-2.089570278834829e-6
ONT:169,6,2,3,J40,"Bronchitis, not specified as acute or chronic",-4.1993715017288324e-4,1.710949708133569e-6
ONT:169,7,2,3,9059,"Microscopic examination of blood, Other microscopic examination",8.184064537309337e-4,4.0617398667688875e-5
ONT:169,2,3,3,J459,"Asthma, unspecified",7.081672027987873e-6,-2.909172044235353e-8
ONT:169,5,3,3,9783,Removal of abdominal wall sutures,-1.5590677815453813e-4,-3.3053577569580606e-6
ONT:169,7,3,3,8878,Diagnostic ultrasound of gravid uterus,4.887998518274539e-4,4.6030223922896574e-5
ONT:169,7,4,3,5794,Insertion of indwelling urinary catheter,-1.0511034933274876e-4,3.63316612923964e-5
ONT:169,2,5,3,K297,"Gastritis, unspecified",-2.1243457360133056e-5,1.8395335393828205e-9
ONT:169,4,6,3,E780,Pure hypercholesterolaemia,2.284698231984914e-5,1.960785454141467e-9
ONT:169,5,7,3,K290,Acute haemorrhagic gastritis,2.431061181605576e-6,-2.182534448308404e-9
ONT:169,2,2,4,Z018,Other specified special examinations,1.5072128757356862e-5,-2.267738496986027e-9
ONT:169,4,2,4,I500,Congestive heart failure,4.8748892855610126e-5,5.641512918763691e-7
ONT:169,7,4,4,Z099,Follow-up examination after unspecified treatment for other conditions,3.6384949327802896e-4,-3.366027845193298e-5
ONT:169,6,3,5,8876,Diagnostic ultrasound of abdomen and retroperitoneum,6.202473853245127e-5,8.276371624149625e-7
ONT:169,7,4,5,M545,Low back pain,2.8491023269072713e-4,-2.4543939110291402e-5
ONT:169,6,6,5,K291,Other acute gastritis,-3.087212674314152e-5,1.383773812041987e-7
ONT:169,5,7,5,M069,"Rheumatoid arthritis, unspecified",-1.7957990236910134e-5,8.87760633928869e-9
ONT:169,3,1,6,6909,Other dilation and curettage of uterus,-4.816091300194336e-6,-2.7057746897207746e-8
ONT:169,2,2,6,J069,"Acute upper respiratory infection, unspecified",-1.1142707764255633e-5,7.296961992975248e-10
ONT:169,6,3,6,N920,Excessive and frequent menstruation with regular cycle,2.8700957186911236e-4,2.568135197299204e-5
ONT:169,5,6,6,9775,Removal of vaginal or vulvar packing,-1.2053358063218722e-4,8.540067222839731e-9
ONT:169,6,6,6,O321,Maternal care for breech presentation,-5.471169343637672e-5,3.263315021262425e-7
ONT:169,3,5,7,I219,"Acute myocardial infarction, unspecified",1.990317406427855e-5,2.459556840139765e-8
ONT:169,4,4,8,L024,"Cutaneous abscess, furuncle and carbuncle of limb",-1.2207632754002162e-5,-7.344326732883211e-7
