Source,Target,Similarity
ONT:147,ONT:161,0.143526
ONT:160,ONT:163,0.144206
ONT:149,ONT:167,0.157576
ONT:158,ONT:169,0.0991029
ONT:165,ONT:170,0.20296
ONT:154,ONT:171,0.250606
ONT:157,ONT:172,0.431862
ONT:166,ONT:173,0.275598
ONT:172,ONT:173,0.275598
ONT:144,ONT:174,0.14128
ONT:146,ONT:174,0.14128
ONT:164,ONT:174,0.14128
ONT:170,ONT:174,0.14128
ONT:171,ONT:174,0.14128
ONT:173,ONT:174,0.14128
ONT:150,ONT:175,0.0406219
ONT:151,ONT:175,0.0406219
ONT:152,ONT:175,0.0406219
ONT:156,ONT:175,0.0406219
ONT:167,ONT:175,0.0406219
ONT:168,ONT:175,0.0406219
ONT:174,ONT:175,0.0406219
ONT:153,ONT:176,0.0345264
ONT:175,ONT:176,0.0345264
ONT:145,ONT:177,0
ONT:148,ONT:177,0
ONT:155,ONT:177,0
ONT:159,ONT:177,0
ONT:161,ONT:177,0
ONT:162,ONT:177,0
ONT:163,ONT:177,0
ONT:169,ONT:177,0
ONT:176,ONT:177,0
