Package,Version,Base,Loaded,Attached
splines,4.0.2,Yes,Yes,Yes
parallel,4.0.2,Yes,Yes,Yes
stats,4.0.2,Yes,Yes,Yes
graphics,4.0.2,Yes,Yes,Yes
grDevices,4.0.2,Yes,Yes,Yes
utils,4.0.2,Yes,Yes,Yes
datasets,4.0.2,Yes,Yes,Yes
methods,4.0.2,Yes,Yes,Yes
base,4.0.2,Yes,Yes,Yes
keras,2.3.0.0,No,Yes,Yes
tensorflow,2.2.0,No,Yes,Yes
readxl,1.3.1,No,Yes,Yes
ggsci,2.9,No,Yes,Yes
extrafont,0.17,No,Yes,Yes
ggpubr,0.4.0,No,Yes,Yes
visNetwork,2.0.9,No,Yes,Yes
ggnetwork,0.5.8,No,Yes,Yes
MLeval,0.3,No,Yes,Yes
clixo,0.1.1,No,Yes,Yes
divnn,0.1.3,No,Yes,Yes
zeallot,0.1.0,No,Yes,Yes
rsdr,0.1.0,No,Yes,Yes
geepack,1.3-1,No,Yes,Yes
imputeTS,3.0,No,Yes,Yes
survival,3.1-12,No,Yes,Yes
medhist,0.1.0,No,Yes,Yes
Biobase,2.48.0,No,Yes,Yes
BiocGenerics,0.34.0,No,Yes,Yes
reticulate,1.16,No,Yes,Yes
Rtsne,0.15,No,Yes,Yes
matrixStats,0.57.0,No,Yes,Yes
WGCNA,1.69,No,Yes,Yes
fastcluster,1.1.25,No,Yes,Yes
dynamicTreeCut,1.63-1,No,Yes,Yes
limma,3.44.3,No,Yes,Yes
preprocessCore,1.50.0,No,Yes,Yes
gam,1.20,No,Yes,Yes
gbm,2.1.8,No,Yes,Yes
Rborist,0.2-3,No,Yes,Yes
glmnet,4.1,No,Yes,Yes
Matrix,1.2-18,No,Yes,Yes
igraph,1.2.6,No,Yes,Yes
gmethods,0.1.0,No,Yes,Yes
caret,6.0-86,No,Yes,Yes
lattice,0.20-41,No,Yes,Yes
broom,0.7.3,No,Yes,Yes
lubridate,1.7.9,No,Yes,Yes
pbapply,1.4-3,No,Yes,Yes
doParallel,1.0.16,No,Yes,Yes
iterators,1.0.12,No,Yes,Yes
foreach,1.5.0,No,Yes,Yes
kableExtra,1.3.1,No,Yes,Yes
forcats,0.5.0,No,Yes,Yes
stringr,1.4.0,No,Yes,Yes
dplyr,1.0.0,No,Yes,Yes
purrr,0.3.4,No,Yes,Yes
readr,1.3.1,No,Yes,Yes
tidyr,1.1.0,No,Yes,Yes
tibble,3.0.3,No,Yes,Yes
ggplot2,3.3.2,No,Yes,Yes
tidyverse,1.3.0,No,Yes,Yes
usethis,1.6.1,No,Yes,Yes
tidyselect,1.1.0,No,Yes,No
RSQLite,2.2.0,No,Yes,No
AnnotationDbi,1.50.3,No,Yes,No
htmlwidgets,1.5.1,No,Yes,No
grid,4.0.2,No,Yes,No
pROC,1.16.2,No,Yes,No
devtools,2.3.1,No,Yes,No
munsell,0.5.0,No,Yes,No
codetools,0.2-16,No,Yes,No
withr,2.2.0,No,Yes,No
colorspace,1.4-1,No,Yes,No
highr,0.8,No,Yes,No
knitr,1.30,No,Yes,No
rstudioapi,0.11,No,Yes,No
stats4,4.0.2,No,Yes,No
ggsignif,0.6.0,No,Yes,No
Rttf2pt1,1.3.8,No,Yes,No
TTR,0.23-6,No,Yes,No
