Candidate predictor,Nonevent,Event,Perfect separation,Description
causal_A02,11.81400542224006,20.837549349278138,No,Multiple pregnancy
causal_A03,1.1994896874104761,2.8232898025531497,No,Chorioamnionitis
causal_A04,198.47840238358702,0.3333333333333333,No,IAI
causal_A06,38.56129232340947,9.045610920389896,No,APH
causal_A10,72.18228274425313,43.13001100698173,No,GTI
causal_A11,163.07264804848683,112.74722394780505,No,Periodontal disease
causal_A13,155.8831840222117,146.78483972736822,No,Pneumonia
causal_A15,136.88581831552634,94.82258643208223,No,Asthma
causal_A28,148.15134677027092,124.47627606405831,No,Influenza
O809,65.22354279694379,72.23983328491258,No,"Single spontaneous delivery, unspecified"
O48,64.76676912824536,68.6020962501897,No,Prolonged pregnancy
7359,9.431878349866414,16.999750082785216,No,Other manually assisted delivery
O800,60.87167013019179,115.26247534890427,No,Spontaneous vertex delivery
O601,58.23719284859976,0,Yes,Preterm labour with preterm delivery
Z370,35.93994921979011,37.43779962760966,No,Single live birth
9139,65.33547644750169,32.15952915874528,No,"Microscopic examination of specimen from bladder, urethra, prostate,seminal vesicle, perivesical tissue, and of urine and semen, Other microscopic examination"
8878,45.71080554538039,28.488672204133174,No,Diagnostic ultrasound of gravid uterus
9059,52.433659381264974,23.68255294756368,No,"Microscopic examination of blood, Other microscopic examination"
Z340,89.33024639516927,137.47249914138283,No,Supervision of normal first pregnancy
O820,60.85842869051014,73.37037242235394,No,Delivery by elective caesarean section
744,17.70698724714217,18.9986698871712,No,Cesarean section of other specified type
O821,58.36361477473506,84.84183289842225,No,Delivery by emergency caesarean section
O689,68.1705820435618,47.626153613757026,No,"Labour and delivery complicated by fetal stress, unspecified"
7499,24.530544488501697,21.248649718919637,No,Other cesarean section of unspecified type
O688,16.498652970646955,13.819089220739416,No,Labour and delivery complicated by other evidence of fetal stress
O150,52.37159851989449,249.50090273624355,No,Eclampsia in pregnancy
O342,58.011139940504435,59.917618173986014,No,Maternal care due to uterine scar from previous surgery
O829,53.580032291199004,44.41741760256755,No,"Delivery by caesarean section, unspecified"
741,21.827828979592333,11.435026268436193,No,Low cervical cesarean section
O210,102.47254700455925,98.581850605957,No,Mild hyperemesis gravidarum
O631,48.22243905065482,0.5920967380615678,No,Prolonged second stage (of labour)
M791,151.36950185519746,165.8526802649761,No,Myalgia
O411,7.116674702663415,2.8232898025531497,No,Infection of amniotic sac and membranes
O828,44.02771044056646,9.908411719759599,No,Other single delivery by caesarean section
O610,119.82568746098968,42.70563987576814,No,Failed medical induction of labour
Z321,97.38233201593745,57.81274169876238,No,Pregnancy confirmed
Z351,83.47853369548432,52.00707796616018,No,Supervision of pregnancy with history of abortive outcome
O209,142.7675962710971,97.62027760594994,No,"Haemorrhage in early pregnancy, unspecified"
9659,53.75183160337482,25.338312398184097,No,Other irrigation of wound
9644,51.681449483804485,23.67998931856554,No,Vaginal douche
9918,48.39014415781792,18.393256488615933,No,Injection or infusion of electrolytes
9921,50.83835809490218,20.825126343406517,No,Injection of antibiotic
8905,37.323529992954015,54.17475508317085,No,"Diagnostic interview and evaluation, not otherwise specified"
O619,6.159152605477599,108.57116825596923,No,"Failed induction of labour, unspecified"
734,6.2078592895317595,12.574854622345372,No,Flat foot
O200,108.39284947376741,93.66617438985253,No,Threatened abortion
O269,97.5594636079921,56.74798558479937,No,"Pregnancy-related condition, unspecified"
O808,57.9268914566993,60.54399422627336,No,Other single spontaneous delivery
O622,51.12529692850254,82.52380077033996,No,Other uterine inertia
O731,26.69019155039138,0,Yes,"Retained portions of placenta and membranes, without haemorrhage"
Z360,82.06901899350166,56.821991974321215,No,Antenatal screening for chromosomal anomalies
J060,158.82912375413915,147.14276819052043,No,Acute larynpharyngitis
O701,57.16814156645453,48.71257432891388,No,Second degree perineal laceration during delivery
736,6.621920832787616,0,Yes,Episiotomy
O471,80.50458085292036,134.36996271072633,No,False labour at or after 37 completed weeks of gestation
9929,55.18024272482646,28.238541015084085,No,Injection or infusion of other therapeutic or prophylactic substance
O842,64.38261831804901,31.039908478720534,No,"Multiple delivery, all by caesarean section"
Z098,105.02990998020009,146.15339502112215,No,Follow-up examination after other treatment for other conditions
Z090,144.83982307348646,217.83120875745942,No,Follow-up examination after surgery for other conditions
O328,20.44678263351907,20.990269925776296,No,Maternal care for other malpresentation of fetus
740,8.147414633521954,1.9658960627266246,No,Classical cesarean section
9357,69.19480050808849,36.50207719328697,No,Application of other wound dressing
Z368,96.63486677049274,50.60604918387026,No,Other antenatal screening
9716,61.91351682296676,83.03757377703856,No,Replacement of wound packing or drain
9396,56.973674773590766,16.75018334869859,No,Other oxygen enrichment
O630,32.89323982830831,69.36455331903323,No,Prolonged first stage (of labour)
O722,23.091386138441408,1.9023070019911512,No,Delayed and secondary postpartum haemorrhage
L309,154.39895762578212,77.1559453564413,No,"Dermatitis, unspecified"
R51,151.45370785897876,158.67434282908926,No,Headache
J029,157.7076805803729,177.95476760150694,No,"Acute pharyngitis, unspecified"
J068,163.54093493425785,152.8252887070971,No,Other acute upper respiratory infections of multiple sites
L209,158.52416455482145,137.35381839822082,No,"Atopic dermatitis, unspecified"
O664,47.69748381379788,1.5537971921347118,No,"Failed trial of labour, unspecified"
8952,67.76895833129792,38.438031213950154,No,Electrocardiogram
O838,48.98495646687301,0,Yes,Other specified assisted single delivery
5794,36.758468892331855,12.056312258697643,No,Insertion of indwelling urinary catheter
O839,30.249106273562155,108.56396640500614,No,"Assisted single delivery, unspecified"
O702,23.750154514744768,52.67977461840696,No,Third degree perineal laceration during delivery
O991,136.01809790337123,0.508000508000762,No,"Other diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism complicating pregnancy, childbirth and the puerperium"
O990,68.59993122334019,44.886095652676694,No,"Anaemia complicating pregnancy, childbirth and the puerperium"
9904,56.590061624112316,13.206234172541604,No,Transfusion of packed cells
O322,68.17802408006573,87.54512456608701,No,Maternal care for transverse and oblique lie
O691,115.82016407071875,50.644721939198746,No,"Labour and delivery complicated by cord around neck, with compression"
O368,91.61545069713877,17.706105469189886,No,Maternal care for other specified fetal problems
O714,79.44558853996575,16.75168790358296,No,Obstetric high vaginal laceration alone
O753,1.2994600768119313,7.025338754493239,No,Other infection during labour
O801,72.65011775626397,12.048928029773714,No,Spontaneous breech delivery
O331,64.25730797640394,76.03618371912087,No,Maternal care for disproportion due to generally contracted pelvis
9616,41.80964235802872,0.3480287789935653,No,Other vaginal dilation
O141,59.778776216257505,128.1363331902827,No,Severe pre-eclampsia
O365,60.818705191035264,138.87997125605952,No,Maternal care for poor fetal growth
O709,61.14715702902149,56.03332191001731,No,"Perineal laceration during delivery, unspecified"
O720,51.1651761794796,68.2294616438966,No,Third-stage haemorrhage
Z988,157.9858311370767,252.4424800764056,No,Other specified postsurgical states
O639,60.46883005241319,13.073485470094415,No,"Long labour, unspecified"
Z920,165.36619715181067,123.17002309560544,No,Personal history of contraception
R05,154.6961272468358,160.0179220841461,No,Cough
